"","Correlation","Protein"
"CALML3",0.69555790586991,"CALML3"
"ATP11A",0.579642921924801,"ATP11A"
"CPS1",-0.0951053200583173,"CPS1"
"MDN1",0.37053885611513,"MDN1"
"MPO",0.663181312569522,"MPO"
"BASP1",0.807377041410546,"BASP1"
"PRKRA",0.560601340282876,"PRKRA"
"NF2",0.513041453190499,"NF2"
"EPS8",0.688696396409771,"EPS8"
"MAP1B",0.787681674952227,"MAP1B"
"ADK",0.379212099822152,"ADK"
"PDIA5",0.706399113486843,"PDIA5"
"DHX9",0.203787271782429,"DHX9"
"EVPL",0.486886521492826,"EVPL"
"PTMA",0.587275170313688,"PTMA"
"NCKAP1",-0.0586679327183939,"NCKAP1"
"WDR70",0.428655198572714,"WDR70"
"TAGLN",0.620115936841268,"TAGLN"
"CLASP1",0.434328351671527,"CLASP1"
"LIN28A",0.332467532467532,"LIN28A"
"PTMS",0.678975837435161,"PTMS"
"PPIL2",0.3493556074481,"PPIL2"
"MTHFD1",0.472830007261964,"MTHFD1"
"MARCKS",0.762398538504697,"MARCKS"
"HNRNPUL2",0.455076688204839,"HNRNPUL2"
"LAMB3",0.672741501573446,"LAMB3"
"LIMA1",0.887322701425152,"LIMA1"
"SVIL",0.646091772057258,"SVIL"
"PHF10",0.20737420432959,"PHF10"
"FAM98B",0.447831068943433,"FAM98B"
"RBM28",0.320620978988914,"RBM28"
"RELCH",0.328466817633678,"RELCH"
"PRODH",0.569186588407184,"PRODH"
"PRUNE2",0.205071288312132,"PRUNE2"
"XAB2",0.0899203957177662,"XAB2"
"SRP9",0.34592718262848,"SRP9"
"DNAJC17",0.391617868577903,"DNAJC17"
"PFDN2",0.303115460751296,"PFDN2"
"PRPF6",0.404394023073958,"PRPF6"
"PTRH1",0.22256441315568,"PTRH1"
"POLE4",0.20280335141212,"POLE4"
"PCID2",0.3344774592216,"PCID2"
"MSTO1",0.433843286734361,"MSTO1"
"SPTBN2",0.547253686492326,"SPTBN2"
"WDHD1",0.427567404478253,"WDHD1"
"GOLGA2",0.66353854942783,"GOLGA2"
"IGBP1",0.361659896250673,"IGBP1"
"KIF5B",0.404716168814162,"KIF5B"
"NEMF",0.344430495859189,"NEMF"
"TNKS1BP1",0.674375769480573,"TNKS1BP1"
"ACSS3",0.41915561405285,"ACSS3"
"FASN",0.464858240414961,"FASN"
"RAD18",0.446583621960838,"RAD18"
"RSL1D1",0.200497969511699,"RSL1D1"
"COPB2",0.297493137504474,"COPB2"
